Lab ID/Bottle ID,Filtered ID,Site ID/site Name,Depth or BLANK,depth_cat,Date Collected,Date/Time Sampled,Date Received at JSC,Digested,SRP,NO3,NH4,TN,TP,TDN,TDP,Notes ,SRP Corrected and zeroed ,Corrected,Raw Data,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,#DIV/0!,SRP!$B$2:$S$7000,TP Corrected and Zeroed ,TP Corrected, TP Raw Data,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,4%,TPandTDP!$B$2:$S7000,TDP,TDP Corrected, TDP Raw Data,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,#DIV/0!,TPandTDP!$B$2:$S7000,Nox Corrected and zeroed ,Nox Corrected,Nox Raw Data,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,8%,Nox!$B$2:$S$7000,NH4 Corrected and Zeroed ,NH4 Corrected,NH4 Raw Data ,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,16%,NH4!$B$2:$S$7000,TN Corrected and Zeroed ,TN Corrected,TN Raw Data ,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,28%,TNandTDN!$B$2:$S$7000,TDN Corrected and Zeroed ,TDN Corrected,TDN Raw Data ,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,#DIV/0!,TNandTDN!$B$2:$S$7000
LG14-011,LG14-011-F,Mississquoi Bay,blank,,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B12,#REF!,0,-0.001714991,0.0074,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:15:09 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A12,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B12,#N/A,0.019773675,0.019773675,0.0166,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:51:32 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B12,Check,0.052921801,0.052921801,0.0841,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:20:04 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B12,Check,0.051277955,0.051277955,0.0554,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:04:31 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A12,Check,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B12,#N/A
LG14-012,LG14-012-F,Mississquoi Bay,below ice,D1,1/31/14,1/31/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B13,#REF!,0.02305984,0.02305984,0.0325,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:16:28 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A13,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B13,#N/A,0.677039905,0.677039905,0.6472,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:53:39 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B13,OK,0.039429059,0.039429059,0.0683,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:22:06 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B13,OK,0.864217252,0.864217252,0.8551,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:06:38 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A13,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B13,#N/A
LG14-013,LG14-013-F,Mississquoi Bay,below ice,D1,1/31/14,1/31/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B14,#REF!,0,-0.001221468,0.0079,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:19:06 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A14,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B14,#N/A,0,0.002784395,0.0003,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:57:54 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B14,OK,0,-0.005489813,0.0157,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:26:09 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B14,OK,0.029726982,0.029726982,0.0342,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:10:52 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A14,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B14,#N/A
LG14-014,LG14-014-F,Mississquoi Bay,1 m,D2,1/31/14,1/31/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B15,#REF!,0,0.01012955,0.0194,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:20:26 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A15,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B15,#N/A,0.660884455,0.660884455,0.6317,mg N/L,0.010858109,0.002471709,Fri Sep 12 17:00:01 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B15,OK,0.034049042,0.034049042,0.062,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:28:11 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B15,OK,0.822436828,0.822436828,0.814,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:12:59 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A15,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B15,#N/A
LG14-015,LG14-015-F,Mississquoi Bay,1 m,D2,1/31/14,1/31/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B16,#REF!,0,0.00815546,0.0174,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:21:50 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A16,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B16,#N/A,0.576771888,0.576771888,0.551,mg N/L,0.010858109,0.002471709,Fri Sep 12 17:02:08 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B16,OK,0.039002074,0.039002074,0.0678,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:30:12 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B16,OK,0.806883532,0.806883532,0.7987,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:15:06 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A16,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B16,#N/A
LG14-016,LG14-016-F,Mississquoi Bay,1 m from bottom,D3,1/31/14,1/31/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B17,#REF!,0,0.010425663,0.0197,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:23:09 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A17,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B17,#N/A,0.530285884,0.530285884,0.5064,mg N/L,0.010858109,0.002471709,Fri Sep 12 17:04:14 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B17,OK,0.043442723,0.043442723,0.073,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:32:14 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B17,OK,0.752192855,0.752192855,0.7449,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:17:13 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A17,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B17,#N/A
LG14-017,LG14-017-F,Mississquoi Bay,1 m from bottom,D3,1/31/14,1/31/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B18,#REF!,0,0.009833436,0.0191,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:24:28 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A18,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B18,#N/A,0.458368076,0.458368076,0.4374,mg N/L,0.010858109,0.002471709,Fri Sep 12 17:06:26 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B18,OK,0.039685251,0.039685251,0.0686,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:34:15 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B18,OK,0.756665699,0.756665699,0.7493,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:19:23 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A18,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B18,#N/A
LG14-018,LG14-018-F,Mississquoi Bay,.5 m from bottom,D4,1/31/14,1/31/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B19,#REF!,0.025527452,0.025527452,0.035,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:27:07 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A19,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B19,#N/A,0.443150685,0.443150685,0.4228,mg N/L,0.010858109,0.002471709,Fri Sep 12 17:10:40 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B19,OK,0.070342808,0.070342808,0.1045,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:38:22 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B19,OK,0.794989834,0.794989834,0.787,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:23:37 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A19,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B19,#N/A
LG14-019,LG14-019-F,Mississquoi Bay,.5 m from bottom,D4,1/31/14,1/31/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B20,#REF!,0.027304133,0.027304133,0.0368,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:28:26 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A20,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B20,#N/A,0.469207862,0.469207862,0.4478,mg N/L,0.010858109,0.002471709,Fri Sep 12 17:12:47 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B20,OK,0.060863731,0.060863731,0.0934,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:40:24 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B20,OK,0.775167006,0.775167006,0.7675,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:25:43 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A20,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B20,#N/A
LG14-020,LG14-020-F,Mississquoi Bay,bottom ,D5,1/31/14,1/31/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B21,#REF!,0.096298581,0.096298581,0.1067,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:29:46 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A21,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B21,#N/A,0.384991066,0.384991066,0.367,mg N/L,0.010858109,0.002471709,Fri Sep 12 17:14:53 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B21,OK,0.119787727,0.119787727,0.1624,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:42:25 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B21,OK,0.773133895,0.773133895,0.7655,mg N/L,0.023248648,-0.00503921,Thu Aug 21 16:27:50 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A21,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B21,#N/A
